School,District,CDS Code,Collected Date,Subject,Curriculum,Grades,Adoption Year
Anna Hause Elementary School,Beaumont Unified School District,33-66993-0116947,August 2021,Reading/Language Arts,McGraw-Hill California Wonders Adoption Year ,,2018
Anna Hause Elementary School,Beaumont Unified School District,33-66993-0116947,August 2021,Mathematics,Zearn/Engage New York Adoption Year ,,2019
Anna Hause Elementary School,Beaumont Unified School District,33-66993-0116947,August 2021,Science,Mystery Science Adoption Year ,,2019
Anna Hause Elementary School,Beaumont Unified School District,33-66993-0116947,August 2021,History-Social Science,Houghton Mifflin Adoption Year ,,2006
Bradford Woodbridge Fundamental Elementary School,Roseville City School District,31 66910 6031280,August 2021,Mathematics,Houghton Mifflin - Expressions ,,2015
Bradford Woodbridge Fundamental Elementary School,Roseville City School District,31 66910 6031280,August 2021,Science,Discovery Education ,,2021
Bradford Woodbridge Fundamental Elementary School,Roseville City School District,31 66910 6031280,August 2021,History-Social Science,Pearson Scott Foresman ,,2007
Oak Hill Elementary,Center Joint Unified School District,34 73973 6107734,October 2021,Reading/Language Arts,"McGraw Hill, Wonders,, ", K-6,2015
Oak Hill Elementary,Center Joint Unified School District,34 73973 6107734,October 2021,Mathematics,"CPM Educational Program, Core Connections ",,2014
Oak Hill Elementary,Center Joint Unified School District,34 73973 6107734,October 2021,Mathematics,"McGraw Hill, My Math ",,2014
Oak Hill Elementary,Center Joint Unified School District,34 73973 6107734,October 2021,Science,"Harcourt School Publishers, California Science ",,2008
Oak Hill Elementary,Center Joint Unified School District,34 73973 6107734,October 2021,Science,Amplify  h grade, 6t,2018
Oak Hill Elementary,Center Joint Unified School District,34 73973 6107734,October 2021,History-Social Science,Studies Weekly ,,2019
Orangeview Junior High School,Anaheim Union High School District,30664316058861,September 2020,Reading/Language Arts,"English language arts textbooks, Houghton Mifflin Harcourt Collections, were adopted in 20 There is one textbook available per student",14-15,2014
Orangeview Junior High School,Anaheim Union High School District,30664316058861,September 2020,Mathematics,"Mathematics textbooks, by Houghton Mifflin Harcourt for ",7-8,
Orangeview Junior High School,Anaheim Union High School District,30664316058861,September 2020,Mathematics,grades and Mc Graw Hill for  grades were adopted in,9-12,
Orangeview Junior High School,Anaheim Union High School District,30664316058861,September 2020,Mathematics,"20 Course appropriate, standardsaligned instructional",20-21,2020
Orangeview Junior High School,Anaheim Union High School District,30664316058861,September 2020,Science,adopted in 20 for 7 & 8 grades Science textbooks that,18-19,2018
Orangeview Junior High School,Anaheim Union High School District,30664316058861,September 2020,Science,"needed, the most recent adoption occurring in 20, Pearson Environmental Science AP Edition There is one textbook available per student",21-22,2021
Orangeview Junior High School,Anaheim Union High School District,30664316058861,September 2020,History-Social Science,History/Social science textbooks were adopted in 20,18-19,2018
Orangeview Junior High School,Anaheim Union High School District,30664316058861,September 2020,History-Social Science,History/Social science textbooks were adopted in 20 and 201920,18-19,2018
Brookside Elementary School,Beaumont Unified School District,33-66993-0102749,August 2021,Reading/Language Arts,McGraw-Hill California Wonders Adoption Year ,,2018
Brookside Elementary School,Beaumont Unified School District,33-66993-0102749,August 2021,Mathematics,Mathematics Units of Study Adoption Year ,,2014
Brookside Elementary School,Beaumont Unified School District,33-66993-0102749,August 2021,Science,Harcourt Adoption Year ,,2007
Brookside Elementary School,Beaumont Unified School District,33-66993-0102749,August 2021,History-Social Science,Houghton Mifflin Adoption Year ,,2006
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts, McGraw Hill World of Wonders, TK,2017
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts, McGraw Hill Wonders Program English / Maravillas Spanish, K-6,2017
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts,Spanish, K-6,
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts, McGraw Hill Wonders Kinder ELD Consumables, TK,2017
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts, Houghton Mifflin Harcourt System 44 Elementary Intervention ,3-6,2016
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts,Intervention ,3-6,
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts, Houghton Mifflin Harcourt Read 180 Stage A Universal ,4-6,2016
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts,,4-6,
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts, Houghton Mifflin Harcourt System 44 Workbook Elementary Intervention ,3-6,2016
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts,Elementary Intervention ,3-6,
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts, Houghton Mifflin Harcourt Read 180 Stage A Universal Realbook ,4-6,2016
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts,Realbook ,4-6,
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts, McGraw Hill Wonders Core Program, TK-6,2017
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts, Pearson Side by Side Newcomers ,5-6,2017
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts, Houghton Mifflin Harcourt English Progressing ELs, 3D,2017
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Reading/Language Arts, Houghton Mifflin Harcourt English 3D Progressing ELs and LTELs ,5-6,2017
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Mathematics, McGraw Hill World of Wonders, TK,2015
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Mathematics, Houghton Mifflin Harcourt Go Math! English & Spanish, K-6,2017
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Mathematics,Spanish, K-6,
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Science, McGraw Hill World of Wonders, TK,2017
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Science, McGraw Hill Wonders Program English / Maravillas Spanish, K-3,2017
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Science,Spanish, K-3,
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",Science, FOSS Science English & Spanish ,4-5,2008
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",History-Social Science, McGraw Hill World of Wonders, TK,2017
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",History-Social Science, Pearson Social Science My World Interactive ,4-6,2019
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",History-Social Science,Spanish, K-3,
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",History-Social Science, McGraw Hill World of Wonders English / Maravillas Spanish, K-3,2017
Cesar Chavez Elementary School,Coachella Valley Unified School District,33736766108906,"September 16, 2021",History-Social Science, Pearson Social Science My World Interactive Spanish Version ,4-6,2019
Palm Innovation Academy,Beaumont Unified School District,33-66993-6031660,August 2021,Reading/Language Arts,McGraw-Hill California Wonders Adoption Year ,,2018
Palm Innovation Academy,Beaumont Unified School District,33-66993-6031660,August 2021,Mathematics,"Mathematics Units of Study- Engage New York, Zearn, and ST Math Adoption Year ",,2014
Palm Innovation Academy,Beaumont Unified School District,33-66993-6031660,August 2021,Mathematics,Adoption Year ,,2014
Palm Innovation Academy,Beaumont Unified School District,33-66993-6031660,August 2021,Science,Harcourt Adoption Year ,,2007
Palm Innovation Academy,Beaumont Unified School District,33-66993-6031660,August 2021,History-Social Science,Houghton Mifflin Adoption Year ,,2006
Saul Martinez Elementary,Coachella Valley Unified School District,33 73676 6114789,"September 16, 2021",Reading/Language Arts, McGraw Hill World of Wonders, TK,2017
Saul Martinez Elementary,Coachella Valley Unified School District,33 73676 6114789,"September 16, 2021",Reading/Language Arts, McGraw Hill Wonders Program English / Maravillas Spanish, K-6,2017
Saul Martinez Elementary,Coachella Valley Unified School District,33 73676 6114789,"September 16, 2021",Reading/Language Arts,Spanish, K-6,
Saul Martinez Elementary,Coachella Valley Unified School District,33 73676 6114789,"September 16, 2021",Reading/Language Arts, McGraw Hill Wonders Kinder ELD Consumables, TK,2017
Saul Martinez Elementary,Coachella Valley Unified School District,33 73676 6114789,"September 16, 2021",Reading/Language Arts, Houghton Mifflin Harcourt System 44 Elementary Intervention ,3-6,2016
Saul Martinez Elementary,Coachella Valley Unified School District,33 73676 6114789,"September 16, 2021",Reading/Language Arts,Intervention ,3-6,
Saul Martinez Elementary,Coachella Valley Unified School District,33 73676 6114789,"September 16, 2021",Reading/Language Arts, Houghton Mifflin Harcourt Read 180 Stage A Universal ,4-6,2016
Saul Martinez Elementary,Coachella Valley Unified School District,33 73676 6114789,"September 16, 2021",Reading/Language Arts,,4-6,
Saul Martinez Elementary,Coachella Valley Unified School District,33 73676 6114789,"September 16, 2021",Reading/Language Arts, Houghton Mifflin Harcourt System 44 Workbook Elementary Intervention ,3-6,2016
Saul Martinez Elementary,Coachella Valley Unified School District,33 73676 6114789,"September 16, 2021",Reading/Language Arts,Elementary Intervention ,3-6,
Saul Martinez Elementary,Coachella Valley Unified School District,33 73676 6114789,"September 16, 2021",Reading/Language Arts, Houghton Mifflin Harcourt Read 180 Stage A Universal Realbook ,4-6,2016
